realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,2007-06-01,6.66
2019-12-23,2019-12-23,2007-07-01,6.70
2019-12-23,2019-12-23,2007-08-01,6.57
2019-12-23,2019-12-23,2007-09-01,6.38
2019-12-23,2019-12-23,2007-10-01,6.38
2019-12-23,2019-12-23,2007-11-01,6.21
2019-12-23,2019-12-23,2007-12-01,6.10
2019-12-23,2019-12-23,2008-01-01,5.76
2019-12-23,2019-12-23,2008-02-01,5.92
2019-12-23,2019-12-23,2008-03-01,5.97
2019-12-23,2019-12-23,2008-04-01,5.92
2019-12-23,2019-12-23,2008-05-01,6.04
2019-12-23,2019-12-23,2008-06-01,6.32
2019-12-23,2019-12-23,2008-07-01,6.43
2019-12-23,2019-12-23,2008-08-01,6.48
2019-12-23,2019-12-23,2008-09-01,6.04
2019-12-23,2019-12-23,2008-10-01,6.20
2019-12-23,2019-12-23,2008-11-01,6.09
2019-12-23,2019-12-23,2008-12-01,5.33
2019-12-23,2019-12-23,2009-01-01,5.06
2019-12-23,2019-12-23,2009-02-01,5.13
2019-12-23,2019-12-23,2009-03-01,5.00
2019-12-23,2019-12-23,2009-04-01,4.81
2019-12-23,2019-12-23,2009-05-01,4.86
2019-12-23,2019-12-23,2009-06-01,5.42
2019-12-23,2019-12-23,2009-07-01,5.22
2019-12-23,2019-12-23,2009-08-01,5.19
2019-12-23,2019-12-23,2009-09-01,5.06
2019-12-23,2019-12-23,2009-10-01,4.95
2019-12-23,2019-12-23,2009-11-01,4.88
2019-12-23,2019-12-23,2009-12-01,4.93
2019-12-23,2019-12-23,2010-01-01,5.03
2019-12-23,2019-12-23,2010-02-01,4.99
2019-12-23,2019-12-23,2010-03-01,4.97
2019-12-23,2019-12-23,2010-04-01,5.10
2019-12-23,2019-12-23,2010-05-01,4.89
2019-12-23,2019-12-23,2010-06-01,4.74
2019-12-23,2019-12-23,2010-07-01,4.56
2019-12-23,2019-12-23,2010-08-01,4.43
2019-12-23,2019-12-23,2010-09-01,4.35
2019-12-23,2019-12-23,2010-10-01,4.23
2019-12-23,2019-12-23,2010-11-01,4.30
2019-12-23,2019-12-23,2010-12-01,4.71
2019-12-23,2019-12-23,2011-01-01,4.76
2019-12-23,2019-12-23,2011-02-01,4.95
2019-12-23,2019-12-23,2011-03-01,4.84
2019-12-23,2019-12-23,2011-04-01,4.84
2019-12-23,2019-12-23,2011-05-01,4.64
2019-12-23,2019-12-23,2011-06-01,4.51
2019-12-23,2019-12-23,2011-07-01,4.55
2019-12-23,2019-12-23,2011-08-01,4.27
2019-12-23,2019-12-23,2011-09-01,4.11
2019-12-23,2019-12-23,2011-10-01,4.07
2019-12-23,2019-12-23,2011-11-01,3.99
2019-12-23,2019-12-23,2011-12-01,3.96
2019-12-23,2019-12-23,2012-01-01,3.92
2019-12-23,2019-12-23,2012-02-01,3.89
2019-12-23,2019-12-23,2012-03-01,3.95
2019-12-23,2019-12-23,2012-04-01,3.91
2019-12-23,2019-12-23,2012-05-01,3.80
2019-12-23,2019-12-23,2012-06-01,3.68
2019-12-23,2019-12-23,2012-07-01,3.55
2019-12-23,2019-12-23,2012-08-01,3.60
2019-12-23,2019-12-23,2012-09-01,3.50
2019-12-23,2019-12-23,2012-10-01,3.38
2019-12-23,2019-12-23,2012-11-01,3.35
2019-12-23,2019-12-23,2012-12-01,3.35
2019-12-23,2019-12-23,2013-01-01,3.41
2019-12-23,2019-12-23,2013-02-01,3.53
2019-12-23,2019-12-23,2013-03-01,3.57
2019-12-23,2019-12-23,2013-04-01,3.45
2019-12-23,2019-12-23,2013-05-01,3.54
2019-12-23,2019-12-23,2013-06-01,4.07
2019-12-23,2019-12-23,2013-07-01,4.37
2019-12-23,2019-12-23,2013-08-01,4.46
2019-12-23,2019-12-23,2013-09-01,4.49
2019-12-23,2019-12-23,2013-10-01,4.19
2019-12-23,2019-12-23,2013-11-01,4.26
2019-12-23,2019-12-23,2013-12-01,4.46
2019-12-23,2019-12-23,2014-01-01,4.43
2019-12-23,2019-12-23,2014-02-01,4.30
2019-12-23,2019-12-23,2014-03-01,4.34
2019-12-23,2019-12-23,2014-04-01,4.34
2019-12-23,2019-12-23,2014-05-01,4.19
2019-12-23,2019-12-23,2014-06-01,4.16
2019-12-23,2019-12-23,2014-07-01,4.13
2019-12-23,2019-12-23,2014-08-01,4.12
2019-12-23,2019-12-23,2014-09-01,4.16
2019-12-23,2019-12-23,2014-10-01,4.04
2019-12-23,2019-12-23,2014-11-01,4.00
2019-12-23,2019-12-23,2014-12-01,3.86
2019-12-23,2019-12-23,2015-01-01,3.71
2019-12-23,2019-12-23,2015-02-01,3.71
2019-12-23,2019-12-23,2015-03-01,3.77
2019-12-23,2019-12-23,2015-04-01,3.67
2019-12-23,2019-12-23,2015-05-01,3.84
2019-12-23,2019-12-23,2015-06-01,3.98
2019-12-23,2019-12-23,2015-07-01,4.05
2019-12-23,2019-12-23,2015-08-01,3.91
2019-12-23,2019-12-23,2015-09-01,3.89
2019-12-23,2019-12-23,2015-10-01,3.80
2019-12-23,2019-12-23,2015-11-01,3.94
2019-12-23,2019-12-23,2015-12-01,3.96
2019-12-23,2019-12-23,2016-01-01,3.87
2019-12-23,2019-12-23,2016-02-01,3.66
2019-12-23,2019-12-23,2016-03-01,3.69
2019-12-23,2019-12-23,2016-04-01,3.61
2019-12-23,2019-12-23,2016-05-01,3.60
2019-12-23,2019-12-23,2016-06-01,3.57
2019-12-23,2019-12-23,2016-07-01,3.44
2019-12-23,2019-12-23,2016-08-01,3.44
2019-12-23,2019-12-23,2016-09-01,3.46
